iter	Passed	Remaining
644	285	537
645	285	537
646	285	536
647	285	535
648	286	534
649	286	533
650	286	532
651	286	532
652	286	531
653	287	530
654	287	529
655	287	528
656	287	527
657	287	526
658	288	525
659	288	525
660	288	524
661	288	523
662	289	522
663	289	521
664	289	520
665	289	520
666	289	519
667	290	518
668	290	517
669	290	516
670	290	515
671	290	515
672	291	514
673	291	513
674	291	512
675	291	511
676	291	510
677	292	510
678	292	509
679	292	508
680	292	507
681	293	506
682	293	506
683	293	505
684	293	504
685	293	503
686	294	503
687	294	502
688	294	501
689	294	500
690	294	499
691	295	499
692	295	498
693	295	497
694	295	496
695	296	495
696	296	495
697	296	494
698	296	493
699	296	492
700	297	492
701	297	491
702	297	490
703	297	489
704	297	488
705	298	488
706	298	487
707	298	486
708	298	485
709	298	485
710	299	484
711	299	483
712	299	483
713	299	482
714	300	482
715	300	481
716	301	481
717	301	480
718	302	480
719	303	480
720	303	480
721	304	480
722	304	479
723	305	479
724	305	479
725	306	478
726	306	478
727	307	478
728	307	478
729	308	477
730	308	477
731	308	476
732	309	476
733	309	476
734	310	475
735	310	475
736	310	474
737	311	474
738	311	473
739	312	473
740	312	473
741	313	472
742	313	472
743	314	472
744	314	471
745	315	471
746	315	470
747	315	470
748	316	470
749	316	469
750	317	469
751	318	469
752	318	469
753	318	468
754	319	468
755	319	467
756	320	467
757	320	467
758	321	466
759	321	466
760	322	466
761	322	465
762	322	465
763	323	464
764	323	464
765	324	464
766	324	463
767	325	463
768	325	462
769	326	462
770	326	462
771	327	462
772	327	461
773	328	461
774	328	460
775	328	460
776	329	460
777	330	459
778	330	459
779	330	458
780	331	458
781	331	458
782	332	457
783	332	457
784	333	457
785	333	456
786	334	456
787	334	456
788	335	455
789	335	455
790	336	455
791	336	454
792	337	454
793	337	454
794	338	453
795	338	453
796	339	453
797	339	452
798	340	452
799	340	452
800	341	451
801	341	451
802	342	451
803	342	450
804	343	450
805	343	450
806	344	449
807	344	449
808	345	449
809	345	448
810	346	448
811	346	448
812	347	447
813	347	447
814	348	447
815	348	446
816	349	446
817	349	446
818	350	445
819	350	445
820	350	444
821	351	444
822	351	443
823	352	443
824	352	442
825	352	442
826	353	441
827	353	441
828	353	440
829	354	440
830	354	439
831	355	439
832	355	438
833	355	438
834	356	437
835	356	437
836	356	436
837	357	436
838	357	435
839	358	435
840	359	436
841	360	436
842	360	436
843	361	436
844	362	435
845	364	437
846	364	436
847	364	436
848	365	436
849	365	435
850	366	435
851	366	434
852	367	434
853	367	433
854	368	434
855	369	434
856	369	433
857	369	432
858	370	432
859	370	431
860	370	431
861	371	430
862	371	430
863	371	429
864	373	430
865	373	429
866	373	429
867	374	428
868	374	428
869	375	427
870	375	427
871	375	426
872	376	426
873	376	425
874	377	425
875	377	424
876	377	424
877	378	423
878	378	423
879	378	422
880	379	422
881	379	421
882	379	421
883	380	420
884	380	420
885	380	419
886	381	419
887	381	418
888	381	418
889	382	417
890	382	416
891	382	416
892	383	415
893	383	415
894	383	414
895	384	414
896	384	413
897	384	412
898	384	412
899	384	411
900	385	411
901	385	410
902	386	410
903	386	409
904	387	409
905	387	409
906	388	408
907	388	408
908	389	407
909	389	407
910	390	407
911	390	406
912	390	406
913	391	405
914	391	405
915	391	404
916	391	403
917	392	403
918	392	402
919	392	401
920	394	402
921	394	402
922	394	401
923	395	401
924	395	400
925	395	399
926	396	399
927	396	399
928	396	398
929	396	397
930	397	397
931	397	396
932	397	396
933	397	395
934	398	394
935	398	394
936	398	393
937	398	392
938	399	392
939	399	391
940	399	391
941	399	390
942	399	389
943	400	389
944	400	388
945	400	387
946	400	387
947	401	386
948	401	386
949	401	385
950	401	384
951	402	384
952	402	383
953	402	383
954	402	382
955	402	381
956	403	381
957	403	380
958	403	380
959	403	379
960	404	378
961	404	378
962	404	377
963	404	377
964	405	376
965	405	375
966	405	375
967	405	374
968	405	374
969	406	373
970	406	372
971	406	372
972	406	371
973	407	371
974	407	370
975	407	369
976	407	369
977	407	368
978	408	368
979	408	367
980	408	366
981	408	366
982	409	365
983	409	365
984	409	364
985	409	364
986	410	363
987	410	363
988	410	362
989	410	361
990	411	361
991	411	360
992	411	360
993	411	359
994	412	359
995	412	358
996	412	357
997	412	357
998	413	356
999	413	356
1000	413	355
1001	413	355
1002	413	354
1003	414	353
1004	414	353
1005	414	352
1006	414	352
1007	415	351
1008	415	351
1009	415	350
1010	415	349
1011	415	349
1012	416	348
1013	416	348
1014	416	347
1015	416	346
1016	416	346
1017	417	345
1018	417	345
1019	417	344
1020	417	344
1021	417	343
1022	418	342
1023	418	342
1024	418	341
1025	418	341
1026	418	340
1027	419	340
1028	419	339
1029	419	338
1030	419	338
1031	420	337
1032	420	337
1033	420	336
1034	420	336
1035	420	335
1036	421	334
1037	421	334
1038	421	334
1039	421	333
1040	422	332
1041	422	332
1042	422	331
1043	422	331
1044	423	330
1045	423	330
1046	423	329
1047	423	329
1048	423	328
1049	424	328
1050	424	327
1051	424	327
1052	424	326
1053	425	325
1054	425	325
1055	425	324
1056	425	324
1057	425	323
1058	426	323
1059	426	322
1060	426	322
1061	426	321
1062	427	320
1063	427	320
1064	427	319
1065	427	319
1066	427	318
1067	428	318
1068	428	317
1069	428	317
1070	428	316
1071	428	316
1072	429	315
1073	429	315
1074	429	314
1075	429	313
1076	429	313
1077	430	312
1078	430	312
1079	430	311
1080	430	311
1081	431	310
1082	431	310
1083	431	309
1084	431	309
1085	431	308
1086	432	308
1087	432	307
1088	432	306
1089	432	306
1090	432	305
1091	433	305
1092	433	304
1093	433	304
1094	433	303
1095	433	303
1096	434	302
1097	434	302
1098	434	301
1099	434	301
1100	435	300
1101	435	300
1102	435	299
1103	435	299
1104	435	298
1105	436	298
1106	436	297
1107	436	297
1108	436	296
1109	437	296
1110	437	295
1111	437	295
1112	437	294
1113	437	294
1114	438	293
1115	438	292
1116	438	292
1117	438	291
1118	438	291
1119	439	290
1120	439	290
1121	439	289
1122	439	289
1123	439	288
1124	440	288
1125	440	287
1126	440	287
1127	440	286
1128	441	286
1129	441	285
1130	441	285
1131	441	284
1132	441	284
1133	442	283
1134	442	283
1135	442	282
1136	442	282
1137	442	281
1138	443	281
1139	443	280
1140	443	280
1141	443	279
1142	443	279
1143	444	278
1144	444	278
1145	444	277
1146	444	277
1147	444	276
1148	445	276
1149	445	275
1150	445	275
1151	445	274
1152	446	274
1153	446	273
1154	446	273
1155	446	272
1156	446	272
1157	447	271
1158	447	271
1159	447	270
1160	447	270
1161	447	269
1162	448	269
1163	448	268
1164	448	268
1165	448	267
1166	449	267
1167	449	266
1168	449	266
1169	449	265
1170	449	265
1171	450	265
1172	450	264
1173	450	264
1174	450	263
1175	451	263
1176	451	262
1177	451	262
1178	451	261
1179	451	261
1180	452	260
1181	452	260
1182	452	259
1183	452	259
1184	453	258
1185	453	258
1186	453	257
1187	453	257
1188	453	256
1189	454	256
1190	454	255
1191	454	255
1192	454	255
1193	454	254
1194	455	254
1195	455	253
1196	455	253
1197	455	252
1198	456	252
1199	456	251
1200	456	251
1201	456	250
1202	456	250
1203	457	249
1204	457	249
1205	457	248
1206	457	248
1207	457	247
1208	458	247
1209	458	246
1210	458	246
1211	458	245
1212	458	245
1213	459	245
1214	459	244
1215	459	244
1216	459	243
1217	459	243
1218	460	242
1219	460	242
1220	460	241
1221	460	241
1222	461	240
1223	461	240
1224	461	239
1225	461	239
1226	461	238
1227	462	238
1228	462	238
1229	462	237
1230	462	237
1231	462	236
1232	463	236
1233	463	235
1234	463	235
1235	463	234
1236	464	234
1237	464	233
1238	464	233
1239	464	233
1240	464	232
1241	465	232
1242	465	231
1243	465	231
1244	465	230
1245	466	230
1246	466	229
1247	466	229
1248	466	229
1249	466	228
1250	467	228
1251	467	227
1252	467	227
1253	467	226
1254	467	226
1255	468	225
1256	468	225
1257	468	224
1258	468	224
1259	468	224
1260	469	223
1261	469	223
1262	469	222
1263	469	222
1264	470	221
1265	470	221
1266	470	220
1267	470	220
1268	470	220
1269	471	219
1270	471	219
1271	471	218
1272	471	218
1273	471	217
1274	472	217
1275	472	216
1276	472	216
1277	472	216
1278	473	215
1279	473	215
1280	473	214
1281	473	214
1282	473	213
1283	474	213
1284	474	213
1285	474	212
1286	474	212
1287	475	211
1288	475	211
1289	475	210
1290	475	210
1291	476	210
1292	476	209
1293	476	209
1294	476	208
1295	476	208
1296	477	207
1297	477	207
1298	477	206
1299	477	206
1300	477	206
1301	478	205
1302	478	205
1303	478	204
1304	478	204
1305	479	203
1306	479	203
1307	479	203
1308	479	202
1309	479	202
1310	480	201
1311	480	201
1312	480	200
1313	480	200
1314	480	200
1315	481	199
1316	481	199
1317	481	198
1318	481	198
1319	481	197
1320	482	197
1321	482	197
1322	482	196
1323	482	196
1324	483	195
1325	483	195
1326	483	194
1327	483	194
1328	483	194
1329	484	193
1330	484	193
1331	484	192
1332	484	192
1333	484	191
1334	485	191
1335	485	191
1336	485	190
1337	485	190
1338	485	189
1339	486	189
1340	486	188
1341	486	188
1342	486	188
1343	487	187
1344	487	187
1345	487	186
1346	487	186
1347	487	186
1348	488	185
1349	488	185
1350	488	184
1351	488	184
1352	488	183
1353	489	183
1354	489	183
1355	489	182
1356	489	182
1357	489	181
1358	490	181
1359	490	181
1360	490	180
1361	490	180
1362	491	179
1363	491	179
1364	491	178
1365	491	178
1366	491	178
1367	492	177
1368	492	177
1369	492	176
1370	492	176
1371	493	176
1372	493	175
1373	493	175
1374	493	174
1375	493	174
1376	494	174
1377	494	173
1378	494	173
1379	494	172
1380	494	172
1381	495	171
1382	495	171
1383	495	171
1384	495	170
1385	495	170
1386	496	169
1387	496	169
1388	496	169
1389	496	168
1390	496	168
1391	497	167
1392	497	167
1393	497	167
1394	497	166
1395	498	166
1396	498	165
1397	498	165
1398	498	165
1399	498	164
1400	499	164
1401	499	163
1402	499	163
1403	499	163
1404	499	162
1405	500	162
1406	500	161
1407	500	161
1408	500	161
1409	501	160
1410	501	160
1411	501	159
1412	501	159
1413	501	159
1414	502	158
1415	502	158
1416	502	157
1417	502	157
1418	502	157
1419	503	156
1420	503	156
1421	503	155
1422	503	155
1423	503	155
1424	504	154
1425	504	154
1426	504	153
1427	504	153
1428	505	153
1429	505	152
1430	505	152
1431	505	151
1432	505	151
1433	506	151
1434	506	150
1435	506	150
1436	506	149
1437	506	149
1438	507	149
1439	507	148
1440	507	148
1441	507	147
1442	508	147
1443	508	147
1444	508	146
1445	508	146
1446	508	145
1447	509	145
1448	509	145
1449	509	144
1450	509	144
1451	510	144
1452	510	143
1453	510	143
1454	510	142
1455	510	142
1456	511	142
1457	511	141
1458	511	141
1459	511	140
1460	511	140
1461	512	140
1462	512	139
1463	512	139
1464	512	138
1465	512	138
1466	513	138
1467	513	137
1468	513	137
1469	513	137
1470	514	136
1471	514	136
1472	514	135
1473	514	135
1474	514	135
1475	515	134
1476	515	134
1477	515	133
1478	515	133
1479	515	133
1480	516	132
1481	516	132
1482	516	132
1483	516	131
1484	516	131
1485	517	130
1486	517	130
1487	517	130
1488	517	129
1489	518	129
1490	518	128
1491	518	128
1492	518	128
1493	518	127
1494	519	127
1495	519	127
1496	519	126
1497	519	126
1498	520	125
1499	520	125
1500	520	125
1501	520	124
1502	520	124
1503	521	124
1504	521	123
1505	521	123
