Battery_Temperature_Start,Battery_Temperature_End,Battery_State_of_Charge_Start,Battery_State_of_Charge_End,SOC_Consumed,Ambient_Temperature_Start,Target_Cabin_Temperature,Distance,Duration,Velocity_mean,Velocity_std,Velocity_max,Battery_Current_mean,Battery_Current_std,Battery_Current_max,Battery_Voltage_mean,Battery_Voltage_std,Battery_Voltage_max,Battery_Temperature_std,Ambient_Temperature_std,Longitudinal_Acceleration_mean,Longitudinal_Acceleration_std,Longitudinal_Acceleration_max,Heating_Power_CAN_mean,Heating_Power_CAN_std,Heating_Power_CAN_max,AirCon_Power_mean,AirCon_Power_std,AirCon_Power_max,Accel_abs_mean,Accel_abs_std,Accel_abs_max,Battery_Power_mean,Battery_Power_std,Battery_Power_max,Velocity_diff_mean,Velocity_diff_std,Velocity_diff_max,Battery_Current_diff_mean,Battery_Current_diff_std,Battery_Current_diff_max,Longitudinal_Acceleration_diff_mean,Longitudinal_Acceleration_diff_std,Longitudinal_Acceleration_diff_max,Battery_Temperature_diff_mean,Battery_Temperature_diff_std,Battery_Temperature_diff_max,Route_Area_FTMRoute_2x,Route_Area_FTMRoute_reverse,Route_Area_Highway,Route_Area_Munich_East,Route_Area_Munich_North,Route_Area_Munich_North_Fast_Charging,Route_Area_Munich_Northeast,Route_Area_Munich_South,Weather_cloudy,Weather_dark,Weather_rainy
18.0,20.0,0.713,0.637,0.07599999999999996,22.5,22.0,14.3236054166667,33.04666666666667,26.00356933938477,23.323722594670997,104.252,-8.49928895612708,25.909361876245114,130.368,380.75824508320727,3.2735673805497973,391.589,0.6575854215214927,0.5942691957836997,-0.014308231075250743,0.6628055116769173,3.105,0.14805496722138173,0.7028410958089378,5.52,0.4545557236510338,0.14563483214975007,1.24,0.4594890457780019,0.47778579727985454,3.105,6.222979063863338,8.145937999798848,77.75659022399999,-0.00048587285570131405,2.289242383433492,10.384999999999998,0.002058526740666016,17.10544561567627,273.595,0.00011744590200695215,0.4569048973478431,2.661,0.0010090817356205853,0.0350381045662366,0.8990000000000009,0,0,0,1,0,0,0,0,0,0,0
19.0,20.0,0.873,0.765,0.10799999999999998,17.0,23.0,19.3708883988889,30.645,37.92017304839587,30.933225988191555,116.221029,-13.111325259923872,30.828668464160735,89.855679,387.48563817074495,3.853685549412512,394.211632,0.49877303642548604,0.4522403948372036,0.021032913947797712,0.6723594605208059,2.930014,0.043223491027732465,0.40280653825467044,5.52,0.0,0.0,0.0,0.4240286746873301,0.5221223299739274,3.5087200000000003,7.894085670132442,9.98299128959627,96.73717035186414,1.8762950327757846e-18,2.346132687901915,10.559896000000002,0.0002176278563656066,19.176383255991723,149.828914,8.533052230685691e-06,0.44011652890170017,3.057179,0.000544069640914037,0.0211100399343532,0.899483,0,0,0,1,0,0,0,0,0,0,0
16.0,17.0,0.874,0.819,0.05500000000000005,19.5,28.0,8.35976032388889,17.375,28.854398049856183,14.418477211588385,66.63551600000001,-11.882269528603388,20.991794863960237,48.580473,388.44504236720996,2.328822482390362,393.740053,0.31723559397376594,0.2666268083553128,0.008630466922339404,0.6266126256930575,2.9703399999999998,1.0461192732502396,1.9496044718640506,6.959999999999999,0.34946935666347073,0.15938282287914382,1.230937,0.4342545474592522,0.4516192545847757,2.9703399999999998,6.808447588896753,6.329509913888656,37.949686460079356,6.659207201446476e-20,2.2530833885367536,9.021338999999998,0.016851995841330798,13.074841871106216,84.838269,-0.00012019001919385815,0.42294638261968426,2.438231,0.0009596928982725527,0.02225496163556155,0.5909660000000017,0,0,0,1,0,0,0,0,0,0,0
17.0,19.0,0.819,0.744,0.07499999999999996,19.0,23.0,11.2745380752778,8.868333333333334,76.15072621200751,34.161021870500875,124.60615800000001,-31.162768213883677,58.906281306771334,123.85043900000001,380.9138191313321,6.363267598780821,392.988244,0.6158557882498633,0.8321884692328786,-0.020218352720450278,0.6967361962356515,2.858641,1.159274975609756,1.8208312687085775,6.9079999999999995,0.14834294559099437,0.12897850861693122,0.8800000000000001,0.46044597748592875,0.5229166885474867,2.858641,16.99097662953031,17.974540001953272,102.64735490507196,2.86946740387141e-19,2.414255686283028,10.366864000000007,0.0027641315789474446,35.12093608277709,186.46444300000002,0.00034410714285714415,0.41325822488761155,3.296063,0.0037593984962406013,0.07072551615280072,0.8593329999999995,0,0,0,1,0,0,0,0,0,0,0
19.0,20.0,0.744,0.652,0.09199999999999997,17.0,33.0,12.2097497405556,12.71,57.60825565661862,44.17459105373838,142.909366,-26.89923303894402,48.466847825830655,133.50575800000001,377.40511679273544,5.56479031410798,390.355391,0.5387267821385265,0.7859477347301815,0.07287300748923423,0.641693003351991,2.709998,1.5056300825688074,0.9866472597727795,5.52,0.047595315858453474,0.0876554082967229,0.516,0.44018266672907697,0.4723052991141719,2.709998,13.717802654642075,15.164354258240456,89.7727121092125,-2.3311769545935045e-18,2.226405302085519,8.555062,-0.0031812909636296633,25.608388103081154,131.908808,-9.882320959879974e-05,0.4072528096547294,1.812179,0.0013123359580052493,0.057341674445194855,0.947303999999999,0,0,0,1,0,0,0,0,0,0,0
19.0,20.0,0.862,0.788,0.07399999999999995,22.0,30.0,18.0322327777778,26.868333333333332,40.2455288282703,22.629944416886204,100.825,-10.190461872287663,31.672006358862795,89.23299999999999,388.0057464352139,3.2993751767014152,393.974,0.4947931077631463,0.5463480980107407,-0.02233539987600744,0.6795370502759093,3.285,0.11776193428394295,0.6903614206923615,5.52,0.0,0.0,0.0,0.4750272783632982,0.4862909469767133,3.285,8.37702559282393,9.500365349599571,105.985663497,-1.6680033422853915e-20,2.3746617199709665,11.105000000000004,0.0004013647642679879,20.425327521112205,118.538,3.2878411910669865e-05,0.4499378419429932,2.295,0.0006203473945409429,0.02012496114797768,0.7950000000000017,0,0,0,1,0,0,0,0,1,0,0
20.0,22.0,0.785,0.668,0.11699999999999999,25.5,25.0,20.4298453947222,33.34,36.755344038480764,23.846940017110406,107.75195900000001,-12.982652609195403,35.54159238667191,121.83028199999998,382.9697911249375,3.807351362806595,393.82273599999996,0.5862067258273591,0.9662869983754253,0.031530315342328835,0.6911210618907244,2.77148,0.0691023388305847,0.46675754906110223,5.46767,0.39497809845077464,0.6289784892939848,2.916,0.4700853868065967,0.5074960285858293,3.9938200000000004,8.96205801955413,11.123546987299456,88.40411370526897,6.661338147750939e-19,2.3985525076224596,10.088501,-0.00040040299999999606,22.435518201025012,126.918785,0.0001510619999999992,0.46656371118706574,2.7402979999999997,0.001,0.027626001754406392,0.8983679999999978,0,0,0,1,0,0,0,0,1,0,0
18.0,19.0,0.819,0.72,0.09899999999999998,20.5,25.0,19.5153157319444,29.058333333333334,40.28390862098624,22.854255157469595,93.665897,-12.648995277714066,29.35368731861418,88.925041,385.5035256014908,3.2188681974105937,393.316606,0.47378304731266835,0.7398369260205122,-0.004459386659021407,0.6706257021195221,3.246,0.44753085435779816,1.2651281832742498,6.932165,0.31278863990825684,0.2673969534016065,1.48,0.4315455193042813,0.5132449213080195,3.293434,8.359414644274475,8.87774483471211,66.80883880261511,-4.7772075069929285e-20,2.358105510078345,12.425193,0.0018779866131191664,17.832551103595005,132.031245,-6.148326639892955e-05,0.40839629305635494,3.4833879999999997,0.0005737234652897303,0.01746116499863277,0.6258890000000008,0,0,0,1,0,0,0,0,0,0,0
19.0,21.0,0.709,0.631,0.07799999999999996,24.0,29.0,16.3326094575,22.315,43.91534684391337,23.6867750021436,95.039568,-12.928718412247946,36.70507270215494,132.804983,380.3858045332338,4.101472819380145,392.21446000000003,0.6625794656489423,0.6999827666946222,-0.001382052277819266,0.6927844216795874,2.999817,0.15531341822255412,0.836566874634756,5.52,0.019130513816280805,0.0667564631706712,0.5439999999999999,0.48151070948469005,0.49792200206184584,3.19047,9.613827297667259,10.930232894406444,93.4654209332969,-0.026254662929745893,2.383821906744245,9.498612999999999,0.0021891771300448044,27.64058898080196,129.00462000000002,0.0001672638266068767,0.5413657057961986,2.434241,0.0014947683109118087,0.04600662419619402,0.8897709999999996,0,0,0,1,0,0,0,0,0,0,0
20.0,20.0,0.855,0.81,0.04499999999999993,19.0,25.0,7.74644444444444,23.288333333333334,27.622095939914164,14.409680654343953,59.01441200000001,-7.167417909155937,19.778096082169206,57.718126,389.0908598469242,1.9357227002303756,393.914739,0.0,0.29162172846098455,0.003537878397711017,0.6668860051406217,2.3765519999999998,0.087214265379113,0.6421034557651449,5.52,0.0,0.0,0.0,0.45499471673819747,0.48742290469562116,3.073876,5.624668006364591,5.874201785780876,43.47626090022522,-5.165676206201515e-19,2.3745790455253637,7.771109999999999,0.00015249105225482825,13.483518379519879,69.078622,3.453042233357189e-05,0.4664135883730946,2.353128,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
20.0,21.0,0.81,0.825,0.719,23.5,26.0,15.9760519444444,19.78166666666667,48.453064026958714,29.001443281133703,116.051,-17.095472620050547,41.01255336788576,116.606,384.2249309182814,4.220327170402906,393.195,0.5448962317398761,0.8681049269399445,0.011100252737994944,0.6767641894981732,3.101,0.4536512215669756,1.3119305534480845,7.040000000000001,0.10496882898062342,0.36164245878889906,2.328,0.4645054759898905,0.4921237888342712,3.101,11.031389744726201,12.588967806837587,101.744452152,-0.00023018549747048898,2.343124637487547,10.709000000000003,0.0012403035413153347,21.324335226474602,167.72799999999998,-0.00035075885328836483,0.40407935896454317,2.5940000000000003,0.0008431703204047217,0.04166250608438874,0.9030000000000022,0,0,0,1,0,0,0,0,0,0,0
21.0,26.0,0.865,0.595,0.27,20.0,27.5,37.2076897222222,27.868333333333332,80.06436521219366,45.73260961240282,151.481,-35.851829647340104,60.707339880458534,135.50799999999998,378.49470890615663,8.171462551343796,393.909,2.0102852983316186,1.204301829489956,0.01969097429766886,0.6576554136341944,2.961,0.11893066347878062,0.6004454546363043,5.52,0.48720980274955167,0.35024411800985206,2.88,0.4291745367603108,0.49859569241498297,4.1049999999999995,17.508721869808728,19.243294119702888,110.086967243,-0.00010944976076554918,2.26321255215594,11.280000000000008,8.911483253583763e-05,31.256926193237604,170.182,0.00024641148325358904,0.37934344086480637,2.287,0.0029904306220095694,0.060113795175242485,0.9480000000000004,0,0,0,1,0,0,0,0,1,0,0
